6,2150.098201,3.319e-26,0.0464,0.048,1160.87,0.67,-0.003
2,2150.340932,1.881e-21,0.0542,0.059,440.7912,0.7,-0.001872
5,2150.606426,8.921e-28,0.042,0.041,2317.2682,0.67,-0.003
2,2150.851491,9.382e-27,0.0469,0.05,3187.0226,0.67,-0.002712
1,2150.856008,1.865e-19,0.0748,0.082,3.845,0.75,-0.0024
4,2151.44529,2.655e-27,0.0527,0.057,2684.0295,0.68,-0.00287
4,2151.898317,1.506e-22,0.058,0.064,168.6096,0.75,-0.00255
3,2152.165842,7.643e-28,0.0457,0.047,3363.3185,0.67,-0.002712
1,2152.199945,3.153e-28,0.0527,0.057,4837.0717,0.68,-0.002055
3,2152.344888,2.11e-22,0.0527,0.057,559.7605,0.68,-0.002055
6,2152.783929,2.201e-26,0.0457,0.047,1253.5464,0.67,-0.003
5,2152.863053,4.921e-28,0.042,0.041,2445.4812,0.67,-0.003
1,2152.941927,2.47e-23,0.058,0.064,2314.6739,0.75,-0.00255
2,2153.442431,1.505e-21,0.0535,0.058,499.5146,0.69,-0.00207
2,2153.600567,6.288e-27,0.0464,0.048,3277.7541,0.67,-0.002712
4,2154.495704,2.03e-27,0.0519,0.056,2750.7503,0.67,-0.00265
1,2154.595583,2.7e-19,0.0709,0.079,11.535,0.74,-0.00262
3,2154.83422,4.942e-28,0.0451,0.046,3460.8766,0.67,-0.002712
5,2155.084809,2.668e-28,0.042,0.041,2577.1021,0.67,-0.003
4,2155.268015,1.383e-22,0.0573,0.063,206.0656,0.75,-0.00254
1,2155.284858,2.398e-28,0.0519,0.056,4904.8799,0.67,-0.002225
3,2155.366008,1.62e-22,0.0519,0.056,625.5463,0.67,-0.002225
6,2155.434811,1.432e-26,0.0451,0.046,1349.7569,0.67,-0.003
2,2156.313449,4.135e-27,0.0457,0.047,3372.0851,0.67,-0.002712
1,2156.358842,2.262e-23,0.0573,0.063,2352.7499,0.75,-0.00254
2,2156.508936,1.179e-21,0.0527,0.057,561.8958,0.68,-0.002055
5,2157.271573,1.422e-28,0.042,0.041,2712.1263,0.67,-0.003
3,2157.466355,3.136e-28,0.0446,0.045,3562.0138,0.67,-0.002712
4,2157.509788,1.52e-27,0.051,0.055,2821.1614,0.67,-0.00279
6,2158.05072,9.15e-27,0.0446,0.045,1449.4982,0.67,-0.003
1,2158.299712,3.41e-19,0.0676,0.075,23.0695,0.74,-0.00253
1,2158.331984,1.786e-28,0.051,0.055,4976.438,0.67,-0.002318
3,2158.352074,1.219e-22,0.051,0.055,694.9714,0.67,-0.002318
4,2158.602495,1.238e-22,0.0567,0.062,247.2618,0.74,-0.0025
2,2158.990005,2.669e-27,0.0451,0.046,3470.0123,0.67,-0.002712
5,2159.423229,7.448e-29,0.042,0.041,2850.5491,0.67,-0.003
2,2159.540313,9.042e-22,0.0519,0.056,627.9324,0.67,-0.002225
1,2159.73914,2.017e-23,0.0567,0.062,2394.6279,0.74,-0.0025
3,2160.062113,1.953e-28,0.0441,0.043,3666.7265,0.67,-0.002712
4,2160.487406,1.115e-27,0.05,0.054,2895.2603,0.67,-0.00313
6,2160.63153,5.74e-27,0.0441,0.043,1552.7667,0.67,-0.003
3,2161.302952,8.991e-23,0.05,0.054,768.0331,0.67,-0.002228
1,2161.341176,1.303e-28,0.05,0.054,5051.7432,0.67,-0.002228
5,2161.539655,3.835e-29,0.042,0.041,2992.3657,0.67,-0.003
2,2161.630101,1.69e-27,0.0446,0.045,3571.5321,0.67,-0.002712
4,2161.901617,1.08e-22,0.0561,0.061,292.1967,0.73,-0.00258
1,2161.968247,3.963e-19,0.065,0.073,38.4481,0.74,-0.00266
2,2162.536428,6.796e-22,0.051,0.055,697.6219,0.67,-0.002318
3,2162.621363,1.194e-28,0.0436,0.043,3775.0107,0.67,-0.002712
1,2163.082673,1.753e-23,0.0561,0.061,2440.3062,0.73,-0.00258
6,2163.177117,3.535e-27,0.0436,0.043,1659.5587,0.67,-0.003
4,2163.428417,8.019e-28,0.0491,0.053,2973.0441,0.67,-0.00314
5,2163.620734,1.942e-29,0.042,0.041,3137.5712,0.67,-0.003
3,2164.218511,6.5e-23,0.0491,0.053,844.7288,0.67,-0.003005
2,2164.233604,1.051e-27,0.0441,0.043,3676.6407,0.67,-0.002712
1,2164.312288,9.308e-29,0.0491,0.053,5130.7926,0.67,-0.003005
3,2165.143971,7.169e-29,0.043,0.042,3886.8625,0.67,-0.002712
